2026-02-24 14:49:54,064 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 70.0, цена: 12777975, старая цена: 13450500, корпус: 1.2, этаж: 25, отделка: Предчистовая
2026-02-24 14:49:54,064 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 70.0, цена: 12917625, старая цена: 13597500, корпус: 1.2, этаж: 2, отделка: Предчистовая
2026-02-24 14:49:54,064 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 70.0, цена: 12931590, старая цена: 13612200, корпус: 1.2, этаж: 4, отделка: Предчистовая
2026-02-24 14:49:54,064 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 70.0, цена: 12931590, старая цена: 13612200, корпус: 1.2, этаж: 3, отделка: Предчистовая
2026-02-24 14:49:54,064 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 70.0, цена: 13022363, старая цена: 13707750, корпус: 1.2, этаж: 7, отделка: Предчистовая
2026-02-24 14:49:54,064 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 70.3, цена: 13183359, старая цена: 13877220, корпус: 1.2, этаж: 12, отделка: Предчистовая
2026-02-24 14:49:54,064 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 70.3, цена: 13218422, старая цена: 13914128, корпус: 1.2, этаж: 16, отделка: Предчистовая
2026-02-24 14:49:54,068 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 70.3, цена: 13218422, старая цена: 13914128, корпус: 1.2, этаж: 15, отделка: Предчистовая
2026-02-24 14:49:54,068 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 70.3, цена: 13288546, старая цена: 13987943, корпус: 1.2, этаж: 20, отделка: Предчистовая
2026-02-24 14:49:54,068 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 70.3, цена: 13288546, старая цена: 13987943, корпус: 1.2, этаж: 19, отделка: Предчистовая
2026-02-24 14:49:54,069 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 70.3, цена: 13288546, старая цена: 13987943, корпус: 1.2, этаж: 18, отделка: Предчистовая
2026-02-24 14:49:54,069 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 70.3, цена: 13323608, старая цена: 14024850, корпус: 1.2, этаж: 22, отделка: Предчистовая
2026-02-24 14:49:54,069 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 70.3, цена: 13323608, старая цена: 14024850, корпус: 1.2, этаж: 21, отделка: Предчистовая
2026-02-24 14:49:54,069 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 70.3, цена: 13393732, старая цена: 14098665, корпус: 1.2, этаж: 24, отделка: Предчистовая
2026-02-24 14:49:54,071 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 70.3, цена: 13393732, старая цена: 14098665, корпус: 1.2, этаж: 23, отделка: Предчистовая
2026-02-24 14:49:56,511 | INFO | Профи Инвест.py | 200
2026-02-24 14:49:56,529 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 70.3, цена: 13463856, старая цена: 14172480, корпус: 1.2, этаж: 25, отделка: Предчистовая
2026-02-24 14:49:56,529 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 70.3, цена: 13463856, старая цена: 14172480, корпус: 1.2, этаж: 10, отделка: Предчистовая
2026-02-24 14:49:56,529 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 2, площадь: 59.2, цена: 13856088, старая цена: , корпус: Б, этаж: 27, отделка: Предчистовая
2026-02-24 14:49:56,529 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 3, площадь: 61.5, цена: 13868250, старая цена: , корпус: Б, этаж: 26, отделка: Предчистовая
2026-02-24 14:49:56,530 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 2, площадь: 71.8, цена: 14001000, старая цена: , корпус: 1, этаж: 2, отделка: Предчистовая
2026-02-24 14:49:56,530 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 2, площадь: 71.8, цена: 14072800, старая цена: , корпус: 1, этаж: 3, отделка: Предчистовая
2026-02-24 14:49:56,530 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 72.0, цена: 14256000, старая цена: , корпус: 2, этаж: 2, отделка: Предчистовая
2026-02-24 14:49:56,530 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 72.0, цена: 14400000, старая цена: , корпус: 2, этаж: 4, отделка: Предчистовая
2026-02-24 14:49:56,534 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 72.1, цена: 14492100, старая цена: , корпус: 2, этаж: 5, отделка: Предчистовая
2026-02-24 14:49:56,534 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 2, площадь: 62.7, цена: 14560334, старая цена: , корпус: А, этаж: 18, отделка: Предчистовая
2026-02-24 14:49:56,534 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 72.0, цена: 14580000, старая цена: , корпус: 2, этаж: 11, отделка: Предчистовая
2026-02-24 14:49:56,534 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 72.1, цена: 14600250, старая цена: , корпус: 2, этаж: 9, отделка: Предчистовая
2026-02-24 14:49:56,534 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 2, площадь: 67.9, цена: 14606044, старая цена: , корпус: А, этаж: 3, отделка: Предчистовая
2026-02-24 14:49:56,534 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 72.0, цена: 14652000, старая цена: , корпус: 2, этаж: 12, отделка: Предчистовая
2026-02-24 14:49:56,534 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 72.0, цена: 14652000, старая цена: , корпус: 2, этаж: 13, отделка: Предчистовая
2026-02-24 14:49:56,535 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 2, площадь: 63.4, цена: 14684144, старая цена: , корпус: Б, этаж: 26, отделка: Предчистовая
2026-02-24 14:49:56,535 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 72.0, цена: 14688000, старая цена: , корпус: 2, этаж: 16, отделка: Предчистовая
2026-02-24 14:49:56,535 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 72.0, цена: 14688000, старая цена: , корпус: 2, этаж: 17, отделка: Предчистовая
2026-02-24 14:49:56,535 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 72.0, цена: 14688000, старая цена: , корпус: 2, этаж: 15, отделка: Предчистовая
2026-02-24 14:49:56,535 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 72.0, цена: 14688000, старая цена: , корпус: 2, этаж: 14, отделка: Предчистовая
2026-02-24 14:49:56,535 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 72.7, цена: 14830800, старая цена: , корпус: 2, этаж: 16, отделка: Предчистовая
2026-02-24 14:49:56,535 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 72.0, цена: 14832000, старая цена: , корпус: 2, этаж: 22, отделка: Предчистовая
2026-02-24 14:49:56,550 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 72.0, цена: 14832000, старая цена: , корпус: 2, этаж: 19, отделка: Предчистовая
2026-02-24 14:49:56,550 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 72.0, цена: 14832000, старая цена: , корпус: 2, этаж: 21, отделка: Предчистовая
2026-02-24 14:49:59,571 | INFO | Профи Инвест.py | 200
